"","V1","V2","V3","V4"
"HIF1A_HUMAN-->EP300_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"RBX1_HUMAN-->CUL2_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"VHL_HUMAN-->HIF1A_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"SUMO1_HUMAN-->HIPK2_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"D0VY79_HUMAN-->EGLN1_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"EP300_HUMAN-->D0VY79_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"CDN1A_HUMAN-->CDK4_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"MDM2_HUMAN-->CDN1A_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"K7PPA8_HUMAN-->ZN363_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"EP300_HUMAN-->NCOA3_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"NCOA3_HUMAN-->G4XH65_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"MDM2_HUMAN-->P73_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"P73_HUMAN-->EP300_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"AXIN1_HUMAN-->CTNB1_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"B0LPE5_HUMAN-->GSK3B_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"GSK3B_HUMAN-->AXIN1_HUMAN",-86.3304726160643,-24.1970493314598,-19.5326326492334,-21.4178987416701
"UBC9_HUMAN-->PIAS1_HUMAN",-80.0703537663671,-34.6213517926527,-28.2075551942594,-8.77344036129275
"CCND3_HUMAN-->A4D1G0_HUMAN",-80.0703537663671,-34.6213517926527,-28.2075551942594,-8.77344036129275
"CDK4_HUMAN-->CCND3_HUMAN",-80.0703537663671,-34.6213517926527,-28.2075551942594,-8.77344036129275
"BRCA1_HUMAN-->UIMC1_HUMAN",-80.0703537663671,-34.6213517926527,-28.2075551942594,-8.77344036129275
"CCND1_HUMAN-->CDN1B_HUMAN",-80.0703537663671,-34.6213517926527,-28.2075551942594,-8.77344036129275
"B2R4R0_HUMAN-->TP53B_HUMAN",-80.0703537663671,-34.6213517926527,-28.2075551942594,-8.77344036129275
"EP300_HUMAN-->B2R4R0_HUMAN",-80.0703537663671,-34.6213517926527,-28.2075551942594,-8.77344036129275
"SUMO2_HUMAN-->PIAS1_HUMAN",-80.0703537663671,-34.6213517926527,-28.2075551942594,-8.77344036129275
"UBC9_HUMAN-->SUMO2_HUMAN",-80.0703537663671,-34.6213517926527,-28.2075551942594,-8.77344036129275
