"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"CCNE1_HUMAN-->RB_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"CDN1B_HUMAN-->CCNE1_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"BRCA1_HUMAN-->P53_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"HIF1A_HUMAN-->HSP74_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"HSP74_HUMAN-->CHIP_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"A4D1G0_HUMAN-->CCND3_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"CCND3_HUMAN-->CDK4_HUMAN",-129.493825389557,-25.0731792703934,-24.7274380451016,-10.5610420643996,2.84006111684616,17.9007500977245,-8.75855997309081,-7.48517017238115,-0.246629694891674,15.5094613325395
"SP1_HUMAN-->G4XH65_HUMAN",-130.251608572267,-15.9846738836799,-18.2237560503226,-20.645641483722,-6.88374008912684,22.3692801310752,-12.6517233210764,0.206743122695656,4.57252428957999,1.87461524360252
"CDC37_HUMAN-->HS90A_HUMAN",-130.251608572267,-15.9846738836799,-18.2237560503226,-20.645641483722,-6.88374008912684,22.3692801310752,-12.6517233210764,0.206743122695656,4.57252428957999,1.87461524360252
"CDK4_HUMAN-->CDC37_HUMAN",-130.251608572267,-15.9846738836799,-18.2237560503226,-20.645641483722,-6.88374008912684,22.3692801310752,-12.6517233210764,0.206743122695656,4.57252428957999,1.87461524360252
"SP1_HUMAN-->EP300_HUMAN",-130.251608572267,-15.9846738836799,-18.2237560503226,-20.645641483722,-6.88374008912684,22.3692801310752,-12.6517233210764,0.206743122695656,4.57252428957999,1.87461524360252
"MDM2_HUMAN-->K7PPA8_HUMAN",-130.251608572267,-15.9846738836799,-18.2237560503226,-20.645641483722,-6.88374008912684,22.3692801310752,-12.6517233210764,0.206743122695656,4.57252428957999,1.87461524360252
"UBP7_HUMAN-->DNMT1_HUMAN",-130.251608572267,-15.9846738836799,-18.2237560503226,-20.645641483722,-6.88374008912684,22.3692801310752,-12.6517233210764,0.206743122695656,4.57252428957999,1.87461524360252
"CCND1_HUMAN-->A4D1G0_HUMAN",-130.251608572267,-15.9846738836799,-18.2237560503226,-20.645641483722,-6.88374008912684,22.3692801310752,-12.6517233210764,0.206743122695656,4.57252428957999,1.87461524360252
"CD2A2_HUMAN-->P53_HUMAN",-130.251608572267,-15.9846738836799,-18.2237560503226,-20.645641483722,-6.88374008912684,22.3692801310752,-12.6517233210764,0.206743122695656,4.57252428957999,1.87461524360252
"B0LPE5_HUMAN-->GSK3A_HUMAN",-130.251608572267,-15.9846738836799,-18.2237560503226,-20.645641483722,-6.88374008912684,22.3692801310752,-12.6517233210764,0.206743122695656,4.57252428957999,1.87461524360252
"MDM2_HUMAN-->B0LPE5_HUMAN",-130.251608572267,-15.9846738836799,-18.2237560503226,-20.645641483722,-6.88374008912684,22.3692801310752,-12.6517233210764,0.206743122695656,4.57252428957999,1.87461524360252
"A2RUM7_HUMAN-->N0E4C7_HUMAN",-130.251608572267,-15.9846738836799,-18.2237560503226,-20.645641483722,-6.88374008912684,22.3692801310752,-12.6517233210764,0.206743122695656,4.57252428957999,1.87461524360252
"CSK21_HUMAN-->XRCC1_HUMAN",-130.251608572267,-15.9846738836799,-18.2237560503226,-20.645641483722,-6.88374008912684,22.3692801310752,-12.6517233210764,0.206743122695656,4.57252428957999,1.87461524360252
"MDM2_HUMAN-->A2RUM7_HUMAN",-130.251608572267,-15.9846738836799,-18.2237560503226,-20.645641483722,-6.88374008912684,22.3692801310752,-12.6517233210764,0.206743122695656,4.57252428957999,1.87461524360252
"N0E4C7_HUMAN-->CSK21_HUMAN",-130.251608572267,-15.9846738836799,-18.2237560503226,-20.645641483722,-6.88374008912684,22.3692801310752,-12.6517233210764,0.206743122695656,4.57252428957999,1.87461524360252
